Departamento,Cod_Dep,Cod_Mun,Mesa,Archivo,Blanco_Puro_Pct,Diagnostico
ANTIOQUIA,01,082,5,E14_PRE_01_082_099_07_40_005_5151_Mesa_5.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,103,4,E14_PRE_01_103_003_00_03_004_5161_Mesa_4.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,151,29,E14_PRE_01_151_006_04_01_029_5204_Mesa_29.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,187,2,E14_PRE_01_187_000_00_00_002_2073_Mesa_2.pdf,0.01,🟢 ESCANEO REAL
ANTIOQUIA,01,214,14,E14_PRE_01_214_002_01_01_014_5233_Mesa_14.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,205,9,E14_PRE_01_205_002_00_03_009_5227_Mesa_9.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,001,2,E14_PRE_01_001_032_16_02_002_5035_Mesa_2.pdf,0.0,🟢 ESCANEO REAL
ANTIOQUIA,01,121,1,E14_PRE_01_121_099_00_01_001_5180_Mesa_1.pdf,9.25,🔴 DEEPFAKE SINTÉTICO
ANTIOQUIA,01,214,6,E14_PRE_01_214_004_04_02_006_5238_Mesa_6.pdf,1.12,🔴 DEEPFAKE SINTÉTICO
ARAUCA,40,001,4,E14_PRE_40_001_001_01_03_004_6812_Mesa_4.pdf,0.0,🟢 ESCANEO REAL
ARAUCA,40,020,3,E14_PRE_40_020_000_00_00_003_2994_Mesa_3.pdf,6.79,🔴 DEEPFAKE SINTÉTICO
ARAUCA,40,025,4,E14_PRE_40_025_002_00_02_004_6824_Mesa_4.pdf,24.34,🔴 DEEPFAKE SINTÉTICO
ANTIOQUIA,01,001,25,E14_PRE_01_001_026_13_01_025_5019_Mesa_25.pdf,0.0,🟢 ESCANEO REAL
ARAUCA,40,001,7,E14_PRE_40_001_003_03_04_007_6815_Mesa_7.pdf,0.0,🟢 ESCANEO REAL
ARAUCA,40,025,11,E14_PRE_40_025_002_00_01_011_6824_Mesa_11.pdf,30.38,🔴 DEEPFAKE SINTÉTICO
ARAUCA,40,005,9,E14_PRE_40_005_001_00_03_009_6817_Mesa_9.pdf,29.34,🔴 DEEPFAKE SINTÉTICO
